Market Cap,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume,Underaged,Oustanding Shares,MarketCap_Q8NetIncome,MarketCap_Q7NetIncome,MarketCap_duplicate,Q1_NetIncome_duplicate,Q2_NetIncome_duplicate,Q3_NetIncome_duplicate,Q4_NetIncome_duplicate
49680564000,153295000,-58952000,-209037000,-205031000,-13741000.0,-90639000.0,4661000.0,-22328000.0,-411204000.0,22348845.0,21325732.0,35499765.0,33351776.0,40116322.0,56885268.0,29389319.0,41524937.0,55160474.0,52106885.0,94130652.0,78259545.0,37496431.0,30034388.0,45674856.0,34389584.0,36490714.0,55282216.0,37883284.0,44796455.0,31588215.0,58694569.0,32425757.0,18564751.0,0,,-2.0428846639056e+19,-1.109267632992e+18,49680564000,-58952000,-209037000,-205031000,-13741000.0
29642871000,365829000,-170000000,-161000000,-640000000,-295000000.0,-263000000.0,-167000000.0,-155000000.0,-101000000.0,51128994.0,58424872.0,85333436.0,53842816.0,67486429.0,90493236.0,56686899.0,90581728.0,134285013.0,80635646.0,86494007.0,141156713.0,115442172.0,109835699.0,146140663.0,99089514.0,120844796.0,167859720.0,83517679.0,122721437.0,151680153.0,97359174.0,70339625.0,91469215.0,0,,-2.993929971e+18,-4.594645005e+18,29642871000,-170000000,-161000000,-640000000,-295000000.0
15495165000,124001000,176000000,-211000000,99000000,85000000.0,101000000.0,150000000.0,69000000.0,142000000.0,28840223.0,29311594.0,29739960.0,21915141.0,22990873.0,31597564.0,19910587.0,25352931.0,26378339.0,23402074.0,17407114.0,29068928.0,23467080.0,19788016.0,22911527.0,23780219.0,31617745.0,32703480.0,26148012.0,29464974.0,38838822.0,29118429.0,26607344.0,27056280.0,0,,2.20031343e+18,1.069166385e+18,15495165000,176000000,-211000000,99000000,85000000.0
11651559000,182141000,86900000,-28100000,45289000,42909000.0,53400000.0,178100000.0,30595000.0,32336000.0,15870371.0,49663572.0,32698762.0,17199417.0,48430503.0,36389405.0,27189748.0,120996139.0,32555258.0,38169414.0,25716732.0,39476912.0,6338714.0,8245257.0,9051064.0,11715372.0,9051562.0,10979731.0,6678942.0,8598721.0,13917286.0,10083032.0,8983030.0,8220266.0,0,,3.76764811824e+17,3.56479447605e+17,11651559000,86900000,-28100000,45289000,42909000.0
26856966000,282824000,242000000,162000000,249000000,301000000.0,-45000000.0,89000000.0,31000000.0,101000000.0,18050756.0,34826956.0,42545743.0,32837055.0,45405485.0,50322934.0,33314540.0,42625060.0,38273900.0,31838460.0,40715597.0,41649818.0,39258719.0,38496289.0,46578522.0,33684659.0,42734810.0,49242570.0,32144539.0,68198513.0,38775928.0,40517425.0,27064529.0,34110440.0,0,,2.712553566e+18,8.32565946e+17,26856966000,242000000,162000000,249000000,301000000.0
12091670000,332280000,369000000,434800000,523200000,841700000.0,1035900000.0,1182000000.0,664800000.0,371900000.0,45161923.0,84561460.0,71647583.0,76848776.0,95115383.0,99554221.0,76441547.0,106950921.0,81831762.0,80733598.0,75441169.0,89263358.0,83883433.0,116742264.0,107908955.0,108561148.0,175654487.0,180645537.0,178300981.0,299823672.0,154521173.0,100120588.0,88172993.0,146548226.0,0,,4.496892073e+18,8.038542216e+18,12091670000,369000000,434800000,523200000,841700000.0
50788360000,1556970000,1361000000,1698000000,925000000,1812000000.0,1531000000.0,1557000000.0,1673000000.0,2028000000.0,173401585.0,259215358.0,235651989.0,278113062.0,314439107.0,416406070.0,325050237.0,506212360.0,102277399.0,195357934.0,216278475.0,196377230.0,239851773.0,186892184.0,126191451.0,119713962.0,168148169.0,153333445.0,161032018.0,196258190.0,135104327.0,168616974.0,125239421.0,88728876.0,0,,1.0299879408e+20,8.496892628e+19,50788360000,1361000000,1698000000,925000000,1812000000.0
17534292000,631184000,118000000,325000000,134000000,202000000.0,190000000.0,531000000.0,654000000.0,218000000.0,66822369.0,88268330.0,93076578.0,70503625.0,77916730.0,93000298.0,55260710.0,106862906.0,68179544.0,70864706.0,66719641.0,79407212.0,103712030.0,93651670.0,69817891.0,70149677.0,101094275.0,104332572.0,105913059.0,107482307.0,102194504.0,104081414.0,98680868.0,73892005.0,0,,3.822475656e+18,1.1467426968e+19,17534292000,118000000,325000000,134000000,202000000.0
3889040000,148269000,19023000,8300000,33078000,20578000.0,24104000.0,29317000.0,8665000.0,75831000.0,5557336.0,15150071.0,10549397.0,8689704.0,11339890.0,12063408.0,7302832.0,10899425.0,8151527.0,6839277.0,7947387.0,9915982.0,11595453.0,14299486.0,9600375.0,12622959.0,12271219.0,13915345.0,10946848.0,14177047.0,11202705.0,11632108.0,11233816.0,10623269.0,0,,2.9490979224e+17,3.36985316e+16,3889040000,19023000,8300000,33078000,20578000.0
14252226000,207004000,331800000,334600000,155700000,394800000.0,396200000.0,389300000.0,406400000.0,395700000.0,21648779.0,24325384.0,20150738.0,37161334.0,29674468.0,26302146.0,25641835.0,32467247.0,17289747.0,25382643.0,18327842.0,17166264.0,26321936.0,23010770.0,17239349.0,19064051.0,22442935.0,14871567.0,16845020.0,23667450.0,18155254.0,22419091.0,13148841.0,12889289.0,0,,5.6396058282e+18,5.7921046464e+18,14252226000,331800000,334600000,155700000,394800000.0
8156031000,55756000,20064000,28829000,48729000,40405000.0,49861000.0,46964000.0,29110000.0,33498000.0,10150328.0,9048914.0,10284168.0,13122739.0,12970229.0,12517531.0,11307508.0,11883057.0,12012837.0,11301940.0,9308398.0,15773468.0,14306116.0,9775304.0,13613166.0,9979690.0,10404369.0,9667217.0,13680799.0,9019043.0,8007918.0,11368657.0,7696624.0,8495209.0,0,,2.73210726438e+17,2.3742206241e+17,8156031000,20064000,28829000,48729000,40405000.0
22137926000,309838000,201403000,116892000,81112000,446639000.0,487322000.0,392297000.0,691992000.0,435743000.0,16267845.0,39350584.0,28353651.0,32390255.0,38007737.0,44084418.0,33887092.0,46356545.0,27147304.0,25570444.0,30406425.0,35040665.0,37213317.0,38284045.0,31718249.0,32011448.0,49932309.0,49971453.0,37359179.0,48772766.0,30957161.0,27957206.0,32489950.0,29892982.0,0,,9.646446289018e+18,1.5319267688592e+19,22137926000,201403000,116892000,81112000,446639000.0
3706367000,148077000,-376000000,145000000,-97000000,240000000.0,201000000.0,234000000.0,233000000.0,214000000.0,18319102.0,23008994.0,25591714.0,24291819.0,50483836.0,25365454.0,18326604.0,30078068.0,21163445.0,16209866.0,24816454.0,25590798.0,43665102.0,42342973.0,23036199.0,26515708.0,40457277.0,45376424.0,27488180.0,56094627.0,38620624.0,22787829.0,30132372.0,27871291.0,0,,7.93162538e+17,8.63583511e+17,3706367000,-376000000,145000000,-97000000,240000000.0
6938289000,54818000,85000000,-179000000,-1604000000,143000000.0,-371000000.0,313000000.0,298000000.0,471000000.0,8315132.0,9823462.0,14287855.0,17018574.0,13961180.0,14606006.0,17252957.0,18787822.0,14629377.0,13628360.0,13684996.0,14640680.0,21066279.0,15659642.0,16607871.0,19077007.0,21548867.0,22219642.0,27727147.0,27641444.0,14067735.0,16855568.0,12404812.0,11042325.0,0,,3.267934119e+18,2.067610122e+18,6938289000,85000000,-179000000,-1604000000,143000000.0
11885473000,386771000,85000000,245000000,147000000,105000000.0,184000000.0,445000000.0,164000000.0,111000000.0,19925133.0,15466341.0,16953024.0,13578293.0,12443929.0,13572497.0,11435069.0,13542057.0,11940797.0,13640655.0,10101053.0,11146359.0,15354537.0,19981739.0,10948150.0,12682332.0,17880834.0,17712747.0,17855435.0,16215385.0,10184528.0,10939681.0,15594451.0,8560385.0,0,,1.319287503e+18,1.949217572e+18,11885473000,85000000,245000000,147000000,105000000.0
40349438000,187698000,-211528000,-174737000,-148171000,-190816000.0,-134827000.0,-136494000.0,-174628000.0,-293847000.0,24676843.0,32613259.0,25015633.0,20580471.0,26383843.0,36445979.0,28454183.0,38849806.0,28244383.0,19594367.0,19144883.0,20035444.0,19804495.0,19705948.0,25367717.0,23564041.0,37803264.0,28146277.0,19934610.0,21294498.0,29990041.0,17516020.0,18762894.0,18717355.0,0,,-1.1856561307986e+19,-7.046141659064e+18,40349438000,-211528000,-174737000,-148171000,-190816000.0
