Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,OldestDataDate,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
ALK,4207298000,NYSE,127224000,240000000,-142000000,22000000,40000000,139000000,-143000000,18000000,194000000.0,,31177791.0,38489611.0,33907779.0,43653688.0,29628973.0,30042020.0,38249019.0,42850641.0,21463794.0,30931856.0,29201651.0,24735231.0,34900618.0,33718614.0,27569398.0,33096894.0,39478667.0,38508136.0,41832640.0,56163791.0,38269672.0,40681160.0,42859955.0,38646044.0
ALL,31472583000,NYSE,261574000,-1352000000,-320000000,-284000000,-668000000,-1013000000,660000000,817000000,538000000.0,,21807089.0,35185735.0,34814421.0,37097044.0,43172511.0,43304082.0,32417015.0,54984796.0,32609075.0,33080776.0,30557868.0,33295293.0,49735401.0,38335490.0,36227999.0,40043250.0,36219055.0,39748576.0,34370596.0,51868121.0,56711970.0,45140106.0,44705188.0,55359153.0
ALLE,9083475000,NYSE,87780000,142000000,123500000,135300000,114600000,115100000,93000000,112800000,143500000.0,2013-12-31,6981872.0,13327350.0,17807226.0,17208676.0,17353760.0,13637681.0,19225595.0,20265296.0,15562806.0,11052002.0,11265969.0,14069899.0,16603447.0,19145167.0,14311191.0,12128431.0,17119445.0,15018674.0,16783738.0,16090584.0,17976076.0,13396191.0,11939162.0,11975412.0
AMAT,118068412000,NASDAQ,836534000,1560000000,1575000000,1717000000,1591000000,1606000000,1536000000,1792000000,1712000000.0,1999-12-31,69992823.0,109704009.0,118645698.0,127151975.0,116841988.0,133483678.0,111415728.0,160485505.0,130322556.0,117570971.0,128013759.0,176525283.0,212183579.0,147536174.0,160510544.0,135497660.0,167028326.0,178596582.0,172756957.0,165798230.0,160778153.0,203367300.0,147624969.0,160189211.0
AMCR,12598492000,NYSE,1446440000,180000000,177000000,459000000,232000000,109000000,269000000,225000000,202000000.0,,93396798.0,138541126.0,165690306.0,137354296.0,161174653.0,184732340.0,143456479.0,176673702.0,184078629.0,143241385.0,144959550.0,167626159.0,166058828.0,154490645.0,202087738.0,192005035.0,207840793.0,326528336.0,165198729.0,189333042.0,188709918.0,142815360.0,144283307.0,125690564.0
AMD,169790751000,NASDAQ,1615670000,27000000,-139000000,21000000,66000000,447000000,786000000,974000000,923000000.0,1999-12-31,665138903.0,1044530220.0,1573690096.0,1142100773.0,1543262982.0,1762795163.0,894895972.0,1656333033.0,1145873205.0,1081467156.0,1149724787.0,1681597389.0,1961654845.0,1676527449.0,1800209702.0,1633449957.0,2031197788.0,2897833067.0,1717398548.0,2458597564.0,2293240492.0,1637852102.0,1175268948.0,1371740461.0
AME,34293031000,NYSE,230712000,324242000,305712000,307081000,297641000,282373000,272447000,281681000,257460000.0,1999-12-31,10449670.0,22608473.0,17243493.0,17961613.0,19945675.0,21667119.0,20144777.0,23889265.0,20852922.0,18954135.0,17896252.0,21753786.0,25789502.0,21635098.0,21011269.0,18132672.0,23355499.0,26874399.0,21070367.0,23840986.0,20786237.0,19354307.0,18077712.0,21858956.0
AMGN,151965368000,NASDAQ,534901000,1379000000,2841000000,1616000000,2143000000,1317000000,1476000000,1899000000,1884000000.0,,36212187.0,47065406.0,56925163.0,51881544.0,58521816.0,50819770.0,37027620.0,59935365.0,52525179.0,43433169.0,56301917.0,64905914.0,55949424.0,56755895.0,58952937.0,51623723.0,76166654.0,70035889.0,59137209.0,72435888.0,68310734.0,56317621.0,64408481.0,64333763.0
AMP,33344215000,NYSE,102626000,890000000,417000000,494000000,548000000,614000000,825000000,701000000,1031000000.0,,5695503.0,8439466.0,7926297.0,9252296.0,11747037.0,13754988.0,10702719.0,19504838.0,8449419.0,10928906.0,10535422.0,13331534.0,12967264.0,11011002.0,11543439.0,13087150.0,12574952.0,15280651.0,12401478.0,15340706.0,13884116.0,13569843.0,12454397.0,11943534.0
AMT,77829407000,NYSE,466156000,475700000,335800000,-683800000,839700000,898200000,711700000,453400000,723000000.0,1999-12-31,26213100.0,44081907.0,39270141.0,49696978.0,47593517.0,45951429.0,35740150.0,50459029.0,39770414.0,38198831.0,36488718.0,40995769.0,52859811.0,36500057.0,30436409.0,29436159.0,55288657.0,40773953.0,36629942.0,45366341.0,35948519.0,47694579.0,36333752.0,36774930.0
AMZN,1339147289000,NASDAQ,10317800000,6750000000,3172000000,278000000,2872000000,-2028000000,-3844000000,14323000000,3156000000.0,1999-12-31,588220358.0,1120523243.0,1213497007.0,1059097946.0,1243071267.0,1432007632.0,1222124091.0,1349466996.0,1364198308.0,1523798384.0,1549193116.0,2035252422.0,1459511591.0,1209987592.0,1170389539.0,1338005773.0,1457571482.0,112895255.0,73072079.0,81145583.0,84446686.0,76146845.0,64405344.0,75633992.0
ANET,58773955000,NYSE,309581000,491885000,436473000,427089000,353999000,299099000,272259000,239295000,224305000.0,,23802247.0,32338147.0,68741684.0,54545388.0,74461030.0,93792535.0,40275304.0,68738535.0,49877088.0,42896523.0,38474535.0,50784699.0,52477264.0,41241248.0,43373689.0,37843862.0,37747843.0,48170492.0,34825344.0,44183801.0,45520071.0,42105436.0,49351200.0,26582747.0
ANSS,25441077000,NASDAQ,86791000,69526000,100622000,257947000,95975000,98800000,70988000,203171000,85342000.0,,5310047.0,8344303.0,11570150.0,8431646.0,9982204.0,11264421.0,6925084.0,13773856.0,10056374.0,8044069.0,10184867.0,13998834.0,15973394.0,9625303.0,9907743.0,8023882.0,11985152.0,12948624.0,9205371.0,12657291.0,12259195.0,10375650.0,7968519.0,8391177.0
AON,66154934000,NYSE,202867000,560000000,1050000000,657000000,408000000,501000000,1023000000,863000000,-900000000.0,1999-12-31,8581483.0,12832006.0,16979237.0,16034291.0,18463755.0,17346788.0,16735592.0,22485499.0,15243528.0,14536099.0,16887865.0,14946528.0,18425652.0,17228356.0,17024486.0,17799614.0,19500556.0,23218703.0,18701742.0,34361767.0,23639915.0,25756542.0,25546532.0,31779858.0
AOS,10573498000,NYSE,124590000,157000000,126900000,-120100000,109800000,126200000,119800000,139600000,131600000.0,1999-12-31,13837639.0,18710443.0,17627688.0,22242048.0,17775427.0,21942571.0,25309779.0,24860092.0,19427448.0,29207563.0,21324789.0,22608962.0,28792436.0,25929388.0,14604692.0,22144677.0,20345000.0,22190602.0,26748210.0,22529619.0,20866805.0,27662513.0,18585714.0,21303030.0
APA,12674681000,NASDAQ,307265000,290000000,137000000,429000000,357000000,903000000,1847000000,409000000,-83000000.0,,50385080.0,80239339.0,89680854.0,92328987.0,112193293.0,133244814.0,102011456.0,165956136.0,108874231.0,106151812.0,129305380.0,139071512.0,181022367.0,180065018.0,182261908.0,151346377.0,184190322.0,230479812.0,164412174.0,239309000.0,184251612.0,201867836.0,192660574.0,206109673.0
APD,63414649000,NYSE,222149000,595600000,439800000,572200000,583100000,582100000,530500000,560400000,610400000.0,,11094392.0,13873128.0,16743463.0,16039811.0,17065073.0,18936565.0,14196887.0,24351426.0,26740032.0,20273355.0,21958359.0,25877099.0,21079447.0,19996282.0,22467510.0,21539391.0,25429153.0,21955106.0,24541825.0,40209883.0,30500906.0,21372554.0,18745251.0,24992308.0
APH,48849584000,NYSE,596454000,460500000,439200000,507500000,496600000,472500000,425700000,465000000,426500000.0,1999-12-31,33665218.0,47186559.0,43015587.0,48731066.0,52904253.0,74471125.0,53741993.0,56816567.0,47533204.0,48921470.0,42363220.0,47642361.0,51321725.0,43067904.0,34193552.0,39638239.0,48745352.0,49242020.0,55254864.0,67670571.0,54036693.0,55990363.0,39332187.0,43457026.0
APTV,26856966000,NYSE,282824000,242000000,162000000,249000000,301000000,-45000000,89000000,31000000,101000000.0,2011-12-30,18050756.0,34826956.0,42545743.0,32837055.0,45405485.0,50322934.0,33314540.0,42625060.0,38273900.0,31838460.0,40715597.0,41649818.0,39258719.0,38496289.0,46578522.0,33684659.0,42734810.0,49242570.0,32144539.0,68198513.0,38775928.0,40517425.0,27064529.0,34110440.0
ARE,17109008000,NYSE,173028000,89937000,77862000,54319000,344696000,272214000,-149569000,74895000,103147000.0,,14799586.0,23527388.0,17708602.0,19468607.0,23868036.0,19239267.0,18592303.0,41249305.0,14132135.0,13508919.0,18029820.0,13331423.0,18128715.0,17966186.0,20292244.0,21449182.0,29023343.0,22635406.0,16727399.0,22544162.0,19484311.0,25659614.0,15626632.0,11717995.0
