Ticker,Q9_NetIncome,Q10_NetIncome,Q11_NetIncome,Q12_NetIncome,Q13_NetIncome,Q14_NetIncome,Q15_NetIncome,Q16_NetIncome
AR,-523467000,-15499000,69830000,-535613000,-463304000,-338810000,-482196000,-549318000
ARE,103147000,385084000,8121000,441484000,81056000,229654000,18765000,202441000
ARE,385084000,8121000,441484000,81056000,229654000,18765000,202441000,103147000
ARES,141644000,58378000,79262000,47545000,56371000,-31036000,38465000,33331000
ARES,58378000,79262000,47545000,56371000,-31036000,38465000,33331000,141644000
ARMK,32557000,-77576000,-81243000,-148590000,-256440000,-202260000,145761000,85557000
ARMK,-77576000,-81243000,-148590000,-256440000,-202260000,145761000,85557000,32557000
ARW,240641000,206321000,236071000,166060000,132804000,49503000,112013000,92131000
ARW,206321000,236071000,166060000,132804000,49503000,112013000,92131000,240641000
ASH,80000000,41000000,56000000,5000000,37000000,-582000000,32000000,411000000
ASH,41000000,56000000,5000000,37000000,-582000000,32000000,411000000,80000000
ATO,102411000,296754000,217678000,65333000,117791000,239646000,178673000,58406000
ATO,296754000,217678000,65333000,117791000,239646000,178673000,58406000,102411000
ATR,55276000,83952000,53232000,63716000,41839000,55253000,48538000,56750000
ATR,83952000,53232000,63716000,41839000,55253000,48538000,56750000,55276000
AVB,447953000,142223000,341128000,147703000,170828000,167971000,167671000,279677000
AVB,142223000,341128000,147703000,170828000,167971000,167671000,279677000,447953000
AVGO,1876000000,1493000000,1378000000,1324000000,688000000,563000000,385000000,847000000
AVGO,1493000000,1378000000,1324000000,688000000,563000000,385000000,847000000,1876000000
AVT,85355000,107484000,19163000,-18889000,52161000,-128661000,3668000,41752000
AVT,107484000,19163000,-18889000,52161000,-128661000,3668000,41752000,85355000
AVTR,157800000,164000000,51600000,-42200000,60200000,47000000,70600000,22100000
AVTR,164000000,51600000,-42200000,60200000,47000000,70600000,22100000,157800000
AVY,183800000,209500000,191500000,150500000,79700000,134200000,162500000,144600000
AVY,209500000,191500000,150500000,79700000,134200000,162500000,144600000,183800000
AWI,50800000,55100000,35400000,22800000,54000000,50300000,-226200000,47700000
AWI,55100000,35400000,22800000,54000000,50300000,-226200000,47700000,50800000
AWK,207000000,133000000,145000000,264000000,176000000,124000000,98000000,240000000
AWK,133000000,145000000,264000000,176000000,124000000,98000000,240000000,207000000
AXON,-47117000,-47917000,25834000,-873000,-30759000,4074000,-12379000,6104000
AXON,-47917000,25834000,-873000,-30759000,4074000,-12379000,6104000,-47117000
AXP,1826000000,2280000000,2235000000,1438000000,1073000000,257000000,367000000,1693000000
AXP,2280000000,2235000000,1438000000,1073000000,257000000,367000000,1693000000,1826000000
AXS,235473000,123300000,2743000,-65382000,120040000,-177827000,-754000,38401000
AXS,123300000,2743000,-65382000,120040000,-177827000,-754000,38401000,235473000
AXTA,126400000,15200000,69700000,82500000,-82800000,52200000,41700000,65500000
AXTA,15200000,69700000,82500000,-82800000,52200000,41700000,65500000,126400000
AYI,85700000,62900000,59600000,73700000,60400000,57200000,57000000,96100000
AYI,62900000,59600000,73700000,60400000,57200000,57000000,96100000,85700000
AYX,-43440000,-40656000,22035000,4357000,-35293000,-15473000,30688000,-6240000
AYX,-40656000,22035000,4357000,-35293000,-15473000,30688000,-6240000,-43440000
AZEK,21769000,22640000,10148000,-64359000,-52116000,4088000,-9846000,-920000
AZEK,22640000,10148000,-64359000,-52116000,4088000,-9846000,-920000,21769000
AZO,785771000,596164000,345946000,442433000,740457000,342896000,299282000,350338000
AZO,596164000,345946000,442433000,740457000,342896000,299282000,350338000,785771000
AZPN,,,,,,,,
AZPN,,,,,,,,
AZTA,39166000,23748000,26028000,28973000,13696000,9127000,13057000,412326000
AZTA,23748000,26028000,28973000,13696000,9127000,13057000,412326000,39166000
BA,587000000,-537000000,-8420000000,-449000000,-2376000000,-628000000,-1010000000,1167000000
BA,587000000,-537000000,-8420000000,-449000000,-2376000000,-628000000,-1010000000,-109000000
