Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
JAZZ,8335688000,NASDAQ,63135000,104438000,69420000,-240724000,-19648000,34665000,1647000,-35351000,-52833000,8463151,9366084,11833167,8995423,14221749,12826376,6737828,12918088,10818442,9135135,13850623,11801577,8143184,13603700,12115342,8186372,10746504,13177620,10785249,13614923,10266334,14716926,11736728,12653177
JBL,17059029000,NYSE,130881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBL,17059029000,NYSE,130881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEF,6767365000,NYSE,210428000,57719000,12395000,135635000,142217000,195459000,115762000,328944000,320883000,22464311,34505414,23969341,23838008,24172220,21233531,22202583,55185695,15856057,34179899,19041406,22762156,27939164,34626859,19650483,28336543,32973188,29726819,31519604,51019569,27649550,45471122,25774312,31412253
JEF,6767365000,NYSE,210428000,57719000,12395000,135635000,142217000,195459000,115762000,328944000,320883000,22464311,34505414,23969341,23838008,24172220,21233531,22202583,55185695,15856057,34179899,19041406,22762156,27939164,34626859,19650483,28336543,32973188,29726819,31519604,51019569,27649550,45471122,25774312,31412253
JHG,3894620000,NYSE,165658000,89800000,87400000,65000000,107600000,96200000,103600000,132500000,196800000,,,,,,,,,,,,,,,,,,,,,,,,
JHG,3894620000,NYSE,165658000,89800000,87400000,65000000,107600000,96200000,103600000,132500000,196800000,,,,,,,,,,,,,,,,,,,,,,,,
JLL,6194395000,NYSE,47682200,2500000,-9200000,174800000,140200000,193900000,145600000,421400000,237200000,5780652,7954532,5949537,5607832,6355018,10013780,6813572,8077246,5053997,3939964,4668385,9274690,7120757,7775678,5943503,5885657,10149657,7731902,5698562,7794791,5576016,5191587,7900549,4850259
JLL,6194395000,NYSE,47682200,2500000,-9200000,174800000,140200000,193900000,145600000,421400000,237200000,5780652,7954532,5949537,5607832,6355018,10013780,6813572,8077246,5053997,3939964,4668385,9274690,7120757,7775678,5943503,5885657,10149657,7731902,5698562,7794791,5576016,5191587,7900549,4850259
JWN,2218222000,NYSE,161678000,137000000,-205000000,119000000,-20000000,126000000,20000000,200000000,64000000,60948608,91971461,131433808,73322062,119099626,97860912,89765333,130296962,144764091,109448897,110425438,119253383,95951714,160401236,194667619,93232303,91586732,166325238,80693653,214959273,94745588,109834736,123773974,160842624
JWN,2218222000,NYSE,161678000,137000000,-205000000,119000000,-20000000,126000000,20000000,200000000,64000000,60948608,91971461,131433808,73322062,119099626,97860912,89765333,130296962,144764091,109448897,110425438,119253383,95951714,160401236,194667619,93232303,91586732,166325238,80693653,214959273,94745588,109834736,123773974,160842624
KBR,8067977000,NYSE,134916000,-351000000,86000000,93000000,74000000,94000000,-71000000,70000000,57000000,,,,,,,,,,,,,,,,,,,,,,,,
KBR,8067977000,NYSE,134916000,-351000000,86000000,93000000,74000000,94000000,-71000000,70000000,57000000,,,,,,,,,,,,,,,,,,,,,,,,
KD,3373868000,NYSE,228892000,-141000000,-737000000,-106000000,-281000000,-250000000,-229000000,-731000000,-692000000,21210903,36595179,54508696,23478474,33204191,49669072,22060105,33862123,37998044,26093249,38780682,55620433,47657426,60569274,70697735,37946191,79568905,58261964,29733226,53107192,31898613,41047676,59404699,146284090
KD,3373868000,NYSE,228892000,-141000000,-737000000,-106000000,-281000000,-250000000,-229000000,-731000000,-692000000,21210903,36595179,54508696,23478474,33204191,49669072,22060105,33862123,37998044,26093249,38780682,55620433,47657426,60569274,70697735,37946191,79568905,58261964,29733226,53107192,31898613,41047676,59404699,146284090
KEX,4944392000,NYSE,59500000,57367000,40698000,37309000,39091000,28457000,17434000,10961000,-264730000,,,,,,,,,,,,,,,,,,,,,,,,
KEX,4944392000,NYSE,59500000,57367000,40698000,37309000,39091000,28457000,17434000,10961000,-264730000,,,,,,,,,,,,,,,,,,,,,,,,
KKR,62220362000,NYSE,857680000,861712000,339994000,100470000,-74396000,-717375000,7464000,524808000,1156557000,49709453,74584632,74079343,52804033,70489321,65128112,49317208,76499783,58178486,64010622,63143621,64841220,75381643,77460994,55411623,50877738,62002699,99556777,65162677,85010429,75410319,68708253,51839341,59976662
KMPR,2776200000,NYSE,64056000,-97100000,-80100000,-55500000,-76200000,-72200000,-86300000,-105800000,-75300000,5328854,8432875,7064002,4408810,8907148,7796523,7237630,10149063,8428737,7760199,7858664,6509598,4690128,6329445,5608070,4845547,6122102,8117478,7648128,6837547,10012521,6840326,6639380,6390154
KNSL,9943764000,NYSE,23162200,72791000,55800000,67249000,32984000,27090000,31791000,48320000,36625000,,,,,,,,,,,,,,,,,,,,,,,,
KNSL,9943764000,NYSE,23162200,72791000,55800000,67249000,32984000,27090000,31791000,48320000,36625000,,,,,,,,,,,,,,,,,,,,,,,,
KNX,7400169000,NYSE,161294000,63326000,104284000,148701000,194795000,219492000,208337000,254616000,206178000,33099674,35886138,35199480,41875457,39708119,39387614,44295136,45516820,29925623,41458350,36804064,42841858,48915091,40156735,33387529,35408106,38230715,50583145,54005691,37727102,27672791,28861746,30022391,28163234
KNX,7400169000,NYSE,161294000,63326000,104284000,148701000,194795000,219492000,208337000,254616000,206178000,33099674,35886138,35199480,41875457,39708119,39387614,44295136,45516820,29925623,41458350,36804064,42841858,48915091,40156735,33387529,35408106,38230715,50583145,54005691,37727102,27672791,28861746,30022391,28163234
KRC,3450445000,NYSE,117178000,55587000,56608000,52625000,79757000,47105000,53128000,47646000,47028000,,,,,,,,,,,,,,,,,,,,,,,,
KRC,3450445000,NYSE,117178000,55587000,56608000,52625000,79757000,47105000,53128000,47646000,47028000,,,,,,,,,,,,,,,,,,,,,,,,
KRTX,6441570000,NASDAQ,37667800,-103163000,-97574000,-76212000,-76963000,-64943000,-58218000,-27960000,-50932000,3773114,4748823,6269550,4753020,12002275,7271154,6386971,12768018,6168925,5220774,6761490,6086720,7053111,8940698,19232195,5749516,7240831,6277916,4171527,3848153,4371692,4280831,3969134,3946318
KSS,2301224000,NYSE,110689000,58000000,14000000,-273000000,97000000,143000000,14000000,299000000,243000000,102967358,78150154,98815032,65530990,110943971,135983363,74856453,132772878,54970718,77709695,78347678,90830503,68710348,102591444,103109360,123180971,114787417,100497259,52668029,79083198,59471224,155924597,96749928,96785823
KSS,2301224000,NYSE,110689000,58000000,14000000,-273000000,97000000,143000000,14000000,299000000,243000000,102967358,78150154,98815032,65530990,110943971,135983363,74856453,132772878,54970718,77709695,78347678,90830503,68710348,102591444,103109360,123180971,114787417,100497259,52668029,79083198,59471224,155924597,96749928,96785823
LAD,7216979000,NYSE,27561500,297200000,228700000,247600000,329600000,331300000,342200000,291100000,307900000,,,,,,,,,,,,,,,,,,,,,,,,
LAMR,8533076000,NASDAQ,87540000,130620000,76041000,66103000,146188000,134205000,92151000,123314000,106838000,7231695,8768334,11073963,6581371,8696994,10156301,6666426,9514316,8603275,10241464,11050126,12667268,12058599,11452280,8520528,9951149,14583389,14831833,7406523,9810581,8658640,8091701,7307379,7672868
LAMR,8533076000,NASDAQ,87540000,130620000,76041000,66103000,146188000,134205000,92151000,123314000,106838000,7231695,8768334,11073963,6581371,8696994,10156301,6666426,9514316,8603275,10241464,11050126,12667268,12058599,11452280,8520528,9951149,14583389,14831833,7406523,9810581,8658640,8091701,7307379,7672868
LAZ,2494970000,NYSE,86872000,-124013000,-22172000,42364000,105797000,95480000,113876000,210377000,107209000,,,,,,,,,,,,,,,,,,,,,,,,
LBRDA,13316710000,NASDAQ,18230200,252000000,69000000,178000000,315000000,465000000,299000000,387000000,237000000,1348086,1769849,2365205,2873288,2922037,3123347,2577457,3717558,2760731,3638442,5971081,4293924,5540411,7700124,5512794,5779995,7437889,8532087,4563072,5694317,2618967,4628106,5983122,3256502
LBRDK,13316724000,NASDAQ,125954000,252000000,69000000,178000000,315000000,465000000,299000000,387000000,237000000,7610196,13249888,15466225,15648874,21927231,15538678,15005015,17511780,15164472,17405560,33265982,33481173,28125575,26594264,22624906,18368900,24517406,27755806,20973011,21370533,18291687,21193392,23209680,20515257
LCID,11778474000,NASDAQ,2282650000,-764232000,-779528000,-468188000,-530101000,-220425000,-81286000,-1065919000,-524403000,,,,,,,,,,,,,,,,,,,,,,,,
LEA,7658846000,NYSE,58747000,168700000,143600000,117500000,92300000,68500000,49400000,21500000,-26500000,7592192,11624380,11598984,9709177,15660602,13814442,9655221,14609514,13066761,9500956,10444009,10870706,12209922,13440214,12887838,12196617,11001769,11953749,10061175,15204807,11551161,9392623,12614471,10900524
LEA,7658846000,NYSE,58747000,168700000,143600000,117500000,92300000,68500000,49400000,21500000,-26500000,7592192,11624380,11598984,9709177,15660602,13814442,9655221,14609514,13066761,9500956,10444009,10870706,12209922,13440214,12887838,12196617,11001769,11953749,10061175,15204807,11551161,9392623,12614471,10900524
LECO,10005868000,NASDAQ,57413000,137331000,121931000,109146000,109225000,127823000,126030000,74427000,31757000,,,,,,,,,,,,,,,,,,,,,,,,
LECO,10005868000,NASDAQ,57413000,137331000,121931000,109146000,109225000,127823000,126030000,74427000,31757000,,,,,,,,,,,,,,,,,,,,,,,,
LEG,3184668000,NYSE,133194000,54200000,53500000,52800000,71400000,95200000,90400000,105500000,97200000,14328171,27782604,24960013,39797750,22188798,14570243,15290946,21149923,17989409,17949579,18545853,14468554,21570343,17303491,18388596,19644496,23847897,25454265,28343047,27453798,27243582,34826539,66507017,21234827
LEG,3184668000,NYSE,133194000,54200000,53500000,52800000,71400000,95200000,90400000,105500000,97200000,14328171,27782604,24960013,39797750,22188798,14570243,15290946,21149923,17989409,17949579,18545853,14468554,21570343,17303491,18388596,19644496,23847897,25454265,28343047,27453798,27243582,34826539,66507017,21234827
LEN-B,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFUS,5714093000,NASDAQ,24891500,70071000,88745000,87016000,117518000,51944000,92054000,82095000,57713000,,,,,,,,,,,,,,,,,,,,,,,,
LFUS,5714093000,NASDAQ,24891500,70071000,88745000,87016000,117518000,51944000,92054000,82095000,57713000,,,,,,,,,,,,,,,,,,,,,,,,
LII,12690716000,NYSE,35514400,217200000,98000000,94400000,141900000,177200000,83600000,83600000,126300000,4805244,6277732,5551463,5833029,6545517,7063965,6866304,6792952,5105452,6938894,6223565,6426609,7990821,8258982,5850535,7111791,6837105,7677240,6943418,7391726,8627947,4848731,5011617,5262622
LII,12690716000,NYSE,35514400,217200000,98000000,94400000,141900000,177200000,83600000,83600000,126300000,4805244,6277732,5551463,5833029,6545517,7063965,6866304,6792952,5105452,6938894,6223565,6426609,7990821,8258982,5850535,7111791,6837105,7677240,6943418,7391726,8627947,4848731,5011617,5262622
LITE,2636442000,NASDAQ,67000000,-60200000,-39300000,-31700000,-400000,34700000,26000000,56700000,81500000,16403597,25573573,41339057,28916710,52902677,32191064,20535412,21901560,22838523,13326289,20735239,32008655,15107181,16846854,19498707,10911764,18689957,26062456,13957962,25644169,23124613,16512488,20148254,16268502
LLYVA,None,NASDAQ,0,253000000,15000000,562000000,391000000,622000000,240000000,-231000000,328000000,2317033,3176984,,,,,,,,,,,,,,,,,,,,,,
LLYVK,None,NASDAQ,0,253000000,15000000,562000000,391000000,622000000,240000000,-231000000,328000000,,,,,,,,,,,,,,,,,,,,,,,,
LNC,3969529000,NYSE,169638000,511000000,-881000000,37000000,-2574000000,840000000,1482000000,220000000,318000000,28293995,90961478,47514870,47025579,56980196,81530194,65072232,98610138,71365511,58714222,70826081,66211629,33770848,38077845,42275010,28003042,35282653,38081270,20552616,37855252,36853405,28574111,28784229,36105448
