Ticker,Market Cap,Exchange,Outstanding Shares
RGEN,8156031000,NASDAQ,55756000
WING,5440934000,NASDAQ,29977600
WLK,15065788000,NYSE,127687000
WMS,8672668000,NYSE,78692000
WOLF,4074643000,NYSE,125258000
WOOF,846137000,NASDAQ,229974000
WPC,11449319000,NYSE,213926000
WSC,8274971000,NASDAQ,197305000
WSM,10284368000,NYSE,64145000
WSO,13940966000,NYSE,33817800
WTFC,4733693000,NASDAQ,61212000
WTM,3822675000,NYSE,2560400
WTRG,8855661000,NYSE,264506000
WU,4958843000,NYSE,374535000
WWD,7535283000,NASDAQ,60418000
WWE,8370225000,NYSE,52063000
X,7139308000,NYSE,222964000
XP,11711848000,NASDAQ,435366000
XPO,8296279000,NYSE,115967000
YETI,3546655000,NYSE,86736000
Z,9455844000,NASDAQ,169924000
ZG,9100569000,NASDAQ,56684000
ZI,11333562000,NASDAQ,401470000
ZM,18885050000,NASDAQ,254292000
