Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
TREX,16782741,20452312,22637999,19614175,21140838,25492678,17044848,23118643,23971489,18467481,22775527,33766714,29818682,23357292,31895199,18093024,24652492,29738006,29629172,35400307,21589422,25863955,17007901,15419023
WDAY,24773475,37658620,38738444,37129579,44061385,53351545,31736813,46073318,39968252,38996799,43763630,56064043,39701504,58379022,67477424,46817609,73606775,85451494,36257436,58682170,42966027,50863994,31537634,39473081
SLGN,8314588,11059414,14361229,13116848,13704612,9118426,8390256,8598192,6897979,8824975,8304423,6937101,7907137,9942182,11789392,11633513,10413879,12911105,8019721,14703605,10188795,6892176,6327463,7098714
VRT,99554030,99354842,203726370,81466416,107792173,124986400,82542541,71821070,76592493,53074342,50575752,68446733,129983720,69570763,86203240,64398100,127489511,86012889,78988269,141313933,121476834,52062648,45603354,76056024
WWD,4429839,6426536,10070582,4187253,5842152,8934894,5359032,8405550,6540368,7398863,5684749,6704262,5719863,8941208,9857995,4990938,6931375,10818949,8673693,12903625,9458105,6078119,5411660,4984334
RBA,15870371,49663572,32698762,17199417,48430503,36389405,27189748,120996139,32555258,38169414,25716732,39476912,6338714,8245257,9051064,11715372,9051562,10979731,6678942,8598721,13917286,10083032,8983030,8220266
PB,8951384,11942761,12721515,21301446,14421924,17265849,14295884,24397928,8907623,9960130,9032857,7597957,12177254,9408189,7942346,10329509,13683114,13788943,11467657,11856454,6386413,9266514,7341817,5612514
VMI,2224273,3411961,4110548,4323642,3799774,2711490,2963718,3229275,2841039,1858908,2108017,2058719,3232288,2475105,1921780,2005216,1904836,2145562,2413307,2650888,1569385,1527050,1760624,1516514
POST,6718196,11186006,14960809,8668002,8954680,10087946,6660305,10555436,9576717,8122251,8317428,11509794,8323268,8546850,12699686,6071022,8399369,14200377,8996807,16937149,8848440,8214712,8343402,7770341
JHG,14525609,16972142,16981251,14507271,17482340,23827348,16016484,33736840,25524545,20956798,19806272,23728564,28083519,37705869,21815763,26697241,32347970,27629773,15647709,31998992,24268528,18768546,18499629,18633558
SUI,22198906,14667756,14592274,14455797,15570109,11794209,11842202,14990127,10177409,10128081,11510704,15207896,21020697,16662702,13852256,10963718,12437072,12312126,15312900,16256062,11138084,11523324,16128814,14053932
VAC,9319273,10577265,10848485,7729061,7311031,8970951,5788049,8404654,8075483,7881485,9993848,7160751,7236098,9242404,8453661,8335418,11458976,9046417,7628843,8884498,6447641,6203661,8714613,5824716
DTM,10443229,15086886,11155269,9313566,14425253,16427387,12097594,16245575,15448117,10568994,11794113,12686089,11025918,12972752,11774093,9680846,12234297,11962488,12090607,19588301,12946171,8696260,12645681,11284494
WTRG,21168705,27783333,25434889,22372791,22471650,23427755,19313302,35149096,23219254,18905597,21209060,21387399,27639992,28342753,20138658,18619263,22462150,28657805,21474740,25381071,26271930,22441567,24435959,16217914
SAIA,4435649,5993290,6995228,11536383,12870830,6488726,9357974,7494330,9741678,7853280,7159261,9201646,8552911,11221186,6976537,9207877,10123418,11213742,11954351,7530052,6443818,8128897,5268144,6658358
EHC,9820755,10999530,13585545,10174078,10110684,13394649,18489568,21445164,19165078,13013507,12085060,14048056,16886294,14863007,22107681,16315259,21447192,12515058,14335054,15397949,20970346,20088532,21620321,19405741
WEX,4483661,5327294,4674610,5478878,7057754,6670673,5788272,7526043,7477015,5806654,7510697,7201179,9265986,7476407,5753761,5860706,6983267,6965401,6571387,9013317,10264908,8699484,10694623,11746911
UI,1694907,1397203,1895021,1501416,1948413,1985797,861907,972898,1180604,1436436,1641136,1322210,999852,1316194,1160614,933838,1268686,1679041,1819830,2212035,2930142,2240909,3049267,1610168
MIDD,6179023,8107793,10713887,9054231,8297299,11137240,8375743,12160582,8740601,11341147,13059466,14644858,9695567,9627384,9481396,8622721,10896089,15451024,11617855,11678682,11124608,9868938,9438670,6319160
SEIC,7744271,11592476,10648431,11250550,11503434,13058027,8581198,10940147,8027367,10441687,10377223,10739949,13043030,12185995,11443305,11126071,13523955,18064438,12211300,15767906,13861048,11925116,17973012,8794461
EXP,4033996,6759704,6474125,6533422,8277213,8008801,4725634,6710525,4560653,5513462,5360361,4871268,6637100,7911345,5127030,6062147,9900284,7328559,8137450,11222332,5879498,6988134,6116177,5818342
SITE,3949635,5041135,4913277,3929574,6505342,6975176,4632598,6504032,7564118,4698109,4591733,6708436,6945077,7689188,6220386,4563890,5623492,9724767,7265407,7442221,6875421,7037766,4807317,5573491
TKR,8459081,10755117,16997526,9967188,12326845,12255835,12304941,13390804,13916562,10380545,11007831,11513178,11668877,12778748,9224605,9836379,9562077,9841780,10035622,14202700,10848048,12325253,11992629,11140057
CBSH,9197586,12542635,9392402,14579671,12373699,13821501,12140405,15082536,7519993,7858348,7997612,6216041,8145052,8097362,9149905,7138558,8312261,8573478,8970187,9385176,8606059,8244097,9153309,5461309
MDU,15375323,26511206,46970661,42287910,42372879,28886862,12889829,27025350,16716257,13749324,16729124,17244271,23678602,19694463,27389058,23353460,33591984,33621107,36200852,45204600,28483429,19752767,20842452,18907276
SSNC,12664240,18041630,22566647,20658873,26460465,26028259,19407858,28912672,27069305,28111742,29983473,33061561,32684289,35315547,29515068,28633896,37789916,33306804,24324422,28039875,25601549,23815751,24180357,30084758
MUSA,3304248,4853396,4855075,4097855,7877239,6004109,4431430,7128839,6886153,5229700,6566288,5682207,7832007,6914211,6197827,7084137,7928100,7871386,6413007,7084746,5520712,4140109,4332312,4635256
LECO,4095866,6381050,5587611,6910282,8065082,7252372,8490923,8923706,8531211,7592979,6585407,6370813,7547362,5590887,4248220,5710888,6322602,6012436,6183457,7280682,4861920,4484117,5167355,3144579
SNX,12137356,10822852,6390030,9566906,9710247,6561047,8172173,11050944,7858153,11137939,4343912,5017549,6324084,7836436,5643131,5496235,7985454,6797898,6902802,7658389,5551311,8377679,6719573,5094329
EME,3966267,5454215,7239166,7119903,13736450,7090070,8112248,8019478,6068228,4328762,6963732,7823220,6682291,7080095,6205088,4599490,9114051,7701952,8625937,6736120,5254412,5675648,4721678,4279423
CHDN,5321531,8831150,9452329,7543306,8807550,5446841,3804911,5066988,3131594,2987864,4980926,3549073,3731034,4137380,3865988,3126184,3957891,5334392,3616082,4462962,3334810,3853550,4223780,3463854
