Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
AR,8518890000,NYSE,300384000,-83084000,213431000,730296000,559759000,765135000,-156419000,901385000,-549318000,72390757,85510319,106024681,107137483,126957239,126296353,95561445,132519136,133619824,114204782,125141599,118928222,218567039,135878818,147888531,146162188,213190250,194279566,152169241,199508916,188445413,161754912,128259422,125762064
ARES,32014186000,NYSE,181355000,332255000,207316000,117493000,-35546000,39731000,45863000,124089000,84726000,15669992,20516584,20884038,14466718,27186093,22161873,16763892,28027421,19740214,17637229,26949758,33262931,26941960,23919028,18621325,15799480,25295419,16925437,16158701,20172871,17945135,14302555,13726746,12680729
ARMK,6896941000,NYSE,261050000,338484000,56041000,74151000,75796000,40329000,35748000,42611000,35429000,62100286,64841567,116884074,48934414,55091057,65495080,45561474,128781197,56901080,59740760,44917822,52714340,38160032,42787616,42572147,28826550,27613999,28286373,29063809,34674731,37939075,31625804,43558657,43239502
ARW,6269835000,NYSE,55663000,236559000,273750000,349402000,342399000,370334000,364749000,371208000,290027000,6304184,7739986,9393643,7369341,10332239,10831661,7927222,12713165,9322077,8433286,9840657,10008675,11246094,12930180,10410749,7331552,13112391,16889762,9932871,12178049,12219549,10029875,11228655,8287189
ASH,3894316000,NYSE,51241000,50000000,91000000,40000000,57000000,36000000,786000000,48000000,44000000,7117213,9137599,9550378,9735240,13798050,12502223,6300665,9602293,9093189,8334170,6551669,9414130,6614292,9057355,8244706,10268870,10148720,6754183,10065607,12824861,8758707,8003592,7555953,10180807
ATR,8252553000,NYSE,65637000,83072000,54764000,58996000,54244000,63625000,62423000,57609000,47260000,4739212,6109232,6736578,5635990,6432683,4620612,4405664,4799894,4688281,4146131,4788713,4622876,5415446,5272889,4466322,5337529,5235832,7413897,5116450,5583103,5558565,7169295,8566747,5662757
AVT,4232538000,NASDAQ,91317000,,,,,,,,,6231621,10592745,15970940,13336055,12137528,12847164,8668253,13916509,11593251,11750535,13568576,12758494,18119815,20322426,20743031,15875694,20031914,19671804,13782861,13684496,12386398,14660534,13468020,11943687
AVTR,14187519000,NYSE,675918000,-7300000,121500000,141700000,167000000,187400000,190400000,94000000,156800000,123203155,117890637,105197209,131857175,128214342,127776829,131109021,154036496,160935370,129245957,94470729,133750799,158247411,153788205,136821799,117553826,92992781,111518870,143936084,102452009,76463585,84263301,77132407,78596431
AWI,3118382000,NYSE,44720800,60200000,47300000,48800000,57500000,52200000,44400000,41900000,50800000,4651476,5986900,5970439,6636197,7674255,12718211,7534312,9070153,7936797,6602750,8534752,6556802,7753410,6142193,4522395,6618270,6276160,7981056,8268553,11619177,8927337,7449564,4240338,3438136
AXS,4910446000,NYSE,85221000,150674000,180097000,48491000,-9384000,34778000,149200000,204893000,54948000,6554395,8326898,10082778,9427712,7236062,9029172,11574575,16447607,11091801,10012749,9219882,9396157,14979673,10405720,7563934,8363556,9310408,13080453,13780019,13761997,10541939,10534709,6947884,6187799
AXTA,5711044000,NYSE,221702000,,,,,,,,,34664089,37964180,60162700,43139420,46239528,45154735,47241334,97096122,31214959,55371380,30806564,38211962,51094585,41323533,43022651,48908171,55787070,46196488,53454820,72487392,55100167,45056983,29583803,38094825
AYI,5148617000,NYSE,31192400,105000000,83200000,74900000,115400000,105700000,75300000,87600000,98100000,7514939,6273729,5350021,6684017,9689334,5644499,8847148,7147529,4563604,5969348,5015249,4285311,6893386,7141951,4022746,5611957,7061910,5684703,8249603,5652490,4144817,6758575,7164974,5334261
AYX,2527312000,NYSE,63165000,-120000000,-89000000,-31653000,-74513000,-107000000,-105000000,-37546000,-58039000,24942522,56257842,62072567,27482822,39305188,49009276,27951833,26352499,30451067,17028268,20421117,23709511,16172170,14012093,21842799,11236528,17541788,18783197,13102299,21833677,22022490,15810485,16460299,19288245
AZEK,4052137000,NYSE,149360000,34875000,16273000,-25836000,-4776000,27476000,35818000,16707000,38593000,26180049,31593235,42229968,24913435,35265774,43918692,25953560,29553162,48155099,35788346,41140702,41128913,42046908,35541582,43788976,30909080,50768325,53333117,42299972,46308930,43515956,37773581,23744897,28331956
AZPN,12206941000,NASDAQ,64383000,27316000,-57635000,-66197000,-11244000,53146000,-3280000,-760000,-11202000,2112951,4272644,4662738,3973948,5998266,5242781,4571844,5240864,3586146,3985171,4337804,7045209,4865388,4610426,3236394,2595784,5290346,7991406,7311472,11932283,6026013,7801967,5963598,6028851
AZTA,2961526000,NASDAQ,59195000,-1470000,-4927000,-11235000,-20765000,-9570000,2119874000,43320000,21805000,9685064,18401001,20113713,20080373,22347046,28299925,19902493,27601120,26590909,14364852,14579627,20450135,20502075,14221190,15589123,13136867,12844093,13059793,9576682,10515742,9992727,14089785,12292598,13018251
BAH,16419688000,NYSE,131043000,161388000,-68422000,30997000,170932000,138284000,90873000,128931000,154834000,17237435,13370493,18140460,15483916,19385893,21587015,16563246,23311059,18035900,30680972,15172384,26038748,21146408,16629807,16387471,21561530,21791163,24209135,17293265,27081386,25173343,21195221,13724291,16236287
BC,5080431000,NYSE,69834000,,,,,,,,,9350334,15152436,13851865,12556311,14039287,13274780,10538469,13358639,11393524,11054535,11602373,12729351,14108005,15579245,12904485,12837468,15845328,18528083,19920666,26201438,12501775,17972711,11756225,10270102
BEPC,4114031000,NYSE,179652000,291000000,-920000000,953000000,480000000,1046000000,-882000000,130000000,214000000,19589322,19208555,11428188,9672296,13126051,9682244,8773350,19332983,12606540,12747295,17422034,12339271,18043481,12283325,11444309,10170984,15810868,14190682,13627608,17211072,16371367,18697928,18301057,12458969
BERY,6600609000,NYSE,118100000,143000000,174000000,106000000,233000000,207000000,205000000,121000000,228000000,13382511,17146762,23935824,15894485,45798471,20010230,9633022,20571750,19818034,16539694,22098763,21825147,15828288,20209066,27559602,19312967,21420425,22846655,13571330,26869291,23897172,13369567,17271329,22356622
BF.A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFAM,4572830000,NYSE,57877000,,,,,,,,,5339813,8876203,7972818,7626374,9860079,11818379,6612607,10321397,9367330,7980771,9080229,12110148,9696813,10385678,10987047,9881537,11045800,15299057,6493942,6945665,8563101,9092792,9523586,9012829
BHF,3146080000,NASDAQ,65502000,-175000000,-499000000,-941000000,-677000000,1745000000,1585000000,63000000,383000000,5735625,9686556,7864336,7148104,11316808,12171919,10285584,16623369,8353319,7021993,9371346,11639181,11173850,12136394,12343418,11619288,15920872,14006025,10416475,15097344,14018222,13160962,14260952,10977540
BILL,11804483000,NYSE,106606000,-15871000,-31138000,-95076000,-81640000,-84942000,-86720000,-80440000,-74259000,23051256,28888206,45414512,25946012,34851016,48096856,32197280,65614919,75846514,39399662,32749565,52425394,33881712,42812278,51068035,26384626,39268260,79868414,28760267,43567034,55577529,52294814,38272914,36881882
BJ,9242218000,NYSE,133732000,131325000,116077000,129781000,129942000,141007000,112450000,107568000,126517000,24060970,33487062,45619767,37635354,51484321,56126718,21087660,38545831,21369456,29801629,33163176,39527736,36910934,41292156,51987165,28978818,54278549,53145853,33847151,44698385,24292849,26840561,24368771,34716071
