Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
FAST,60763481,56251513,52804620,78553763,72230411,53145578,70365704,72798396,57313082,76051362,70897069,66066258,85061736,76618909,59650748,73332751,66142044,72470029,72647718,81540670,65263046,72455813,62202142,57149832
FCX,140537168,174820571,213538359,253832472,259881107,276246730,237406781,325654776,209153982,269148448,237385763,313678030,339717440,367705927,348995647,491819629,434704696,411736254,328953654,428903272,359611296,426363130,326153618,396839129
FDS,3146259,6029731,5342937,6774585,7595319,5639460,3850787,7266995,3083653,4648572,5665456,4859396,5179358,6653057,4491061,4138167,6428022,5943904,5644023,7575591,4924150,5801263,12153682,4265363
FDX,25338556,42661391,36050810,38532452,56521812,32411477,39866216,58554885,34136317,35374849,55328993,56265322,86367693,116962396,34931808,32275212,71353657,49045202,45872445,66561822,45774338,43913374,51038914,42417092
FE,55687871,77390226,73658708,46137147,75264487,110647617,58401302,87099775,75844962,82248405,61444869,64300245,91666665,92641102,79451204,54639313,103859542,71910185,67269676,114890298,91859909,83353920,67638458,72278340
FFIV,5529275,6910118,8677989,14419109,11352458,12604232,14073127,9843729,10422636,11767333,8649833,11109606,13464916,10325343,8869167,14984161,7692949,13113274,12622970,10586313,11923000,18424717,9455526,9488473
FI,30054058,47239962,43056745,53087585,100427493,71123647,57618765,98749256,71189505,56278592,59475640,88377769,87569509,95240178,70054017,70374956,64880693,67221448,58707555,77525777,88853250,83650190,81566135,119892125
FICO,2058108,3645741,3348998,3307972,4097134,4680501,3796544,10379905,3515811,3871108,3638034,5716971,4982824,4459876,3011157,3275695,4156855,6884153,6189286,5652095,4856887,6115487,7674710,8106475
FIS,55238479,98177624,79136475,109039003,114954201,98933063,98573504,182297700,122262160,107653884,143241425,196516399,102548559,114395650,83744755,54467686,71947875,75350633,71291908,87694722,89958887,85101157,87972008,103669576
FITB,61797621,115120341,102628076,104742455,123325608,181731321,136905904,356303852,80813495,116715623,105091731,85740555,109279284,93573255,76736776,101581121,98113241,118466753,132519588,160892678,118805729,125898820,101656840,85478828
FLT,4967539,8125561,10804600,8569789,8994386,13661906,9597941,16633814,12963669,7941893,10190542,12751907,16147370,11544109,12874608,9783887,13320357,12692233,9958927,9730579,13625435,12137157,12609945,14521398
FMC,19441246,44538606,29371840,31268491,23284665,23147657,14254407,18746254,16580590,13575436,15229640,16618424,19210848,17251537,15918324,14732099,18553254,24724006,18378435,30182734,16576566,14274079,18735407,18655151
FOX,10404638,23383148,23657406,16584071,23967207,33404061,20643003,27249785,24025356,23494332,25808984,25251307,31008816,27036911,22959886,16858821,24520136,29326329,17585302,21750018,22628437,22242437,37948662,21573722
