Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
AMP,5695503,8439466,7926297,9252296,11747037,13754988,10702719,19504838,8449419,10928906,10535422,13331534,12967264,11011002,11543439,13087150,12574952,15280651,12401478,15340706,13884116,13569843,12454397,11943534
AMT,26213100,44081907,39270141,49696978,47593517,45951429,35740150,50459029,39770414,38198831,36488718,40995769,52859811,36500057,30436409,29436159,55288657,40773953,36629942,45366341,35948519,47694579,36333752,36774930
AMZN,588220358,1120523243,1213497007,1059097946,1243071267,1432007632,1222124091,1349466996,1364198308,1523798384,1549193116,2035252422,1459511591,1209987592,1170389539,1338005773,1457571482,112895255,73072079,81145583,84446686,76146845,64405344,75633992
ANET,23802247,32338147,68741684,54545388,74461030,93792535,40275304,68738535,49877088,42896523,38474535,50784699,52477264,41241248,43373689,37843862,37747843,48170492,34825344,44183801,45520071,42105436,49351200,26582747
ANSS,5310047,8344303,11570150,8431646,9982204,11264421,6925084,13773856,10056374,8044069,10184867,13998834,15973394,9625303,9907743,8023882,11985152,12948624,9205371,12657291,12259195,10375650,7968519,8391177
AON,8581483,12832006,16979237,16034291,18463755,17346788,16735592,22485499,15243528,14536099,16887865,14946528,18425652,17228356,17024486,17799614,19500556,23218703,18701742,34361767,23639915,25756542,25546532,31779858
AOS,13837639,18710443,17627688,22242048,17775427,21942571,25309779,24860092,19427448,29207563,21324789,22608962,28792436,25929388,14604692,22144677,20345000,22190602,26748210,22529619,20866805,27662513,18585714,21303030
APA,50385080,80239339,89680854,92328987,112193293,133244814,102011456,165956136,108874231,106151812,129305380,139071512,181022367,180065018,182261908,151346377,184190322,230479812,164412174,239309000,184251612,201867836,192660574,206109673
APD,11094392,13873128,16743463,16039811,17065073,18936565,14196887,24351426,26740032,20273355,21958359,25877099,21079447,19996282,22467510,21539391,25429153,21955106,24541825,40209883,30500906,21372554,18745251,24992308
APH,33665218,47186559,43015587,48731066,52904253,74471125,53741993,56816567,47533204,48921470,42363220,47642361,51321725,43067904,34193552,39638239,48745352,49242020,55254864,67670571,54036693,55990363,39332187,43457026
APTV,18050756,34826956,42545743,32837055,45405485,50322934,33314540,42625060,38273900,31838460,40715597,41649818,39258719,38496289,46578522,33684659,42734810,49242570,32144539,68198513,38775928,40517425,27064529,34110440
ARE,14799586,23527388,17708602,19468607,23868036,19239267,18592303,41249305,14132135,13508919,18029820,13331423,18128715,17966186,20292244,21449182,29023343,22635406,16727399,22544162,19484311,25659614,15626632,11717995
ATO,13192023,17508660,16594989,13360618,16768895,25640458,14844350,21126885,15467902,14061131,20384973,20120512,17248741,16727914,24164135,16167863,17024413,24079185,19041734,25802801,23641261,24524462,28945191,19484572
